,car_type,location,brand,model,version,year,fuel_type,transmission_type,distance_driven,price
197,-,Chennai,Maruti,Swift Dzire,VDi,2009,Diesel,Manual,"1,37,000 kms",3.3 Lakh
198,-,Chennai,Tata,Zest,Quadrajet 1.3 XMA,2014,Diesel,Automatic,"9,000 kms",4.8 Lakh
199,-,Chennai,Honda,Jazz,1.2 VX i VTEC,2016,Petrol,Manual,"43,000 kms",6.25 Lakh
200,-,Chennai,Honda,Amaze,VX i-Vtech,2014,Petrol,Manual,"44,000 kms",4.65 Lakh
201,-,Chennai,Maruti,Vitara Brezza,VDi,2018,Diesel,Manual,"43,000 kms",8.3 Lakh
202,-,Chennai,Hyundai,EON,Era Plus,2013,Petrol,Manual,"53,280 kms",2.65 Lakh
203,-,Chennai,Maruti,Swift Dzire,VXI,2017,Petrol,Manual,"26,050 kms",6.3 Lakh
204,-,Chennai,Honda,Jazz,1.5 SV i DTEC,2017,Diesel,Manual,"69,000 kms",6.3 Lakh
205,-,Chennai,Volkswagen,Vento,1.5 TDI Highline,2013,Diesel,Manual,"60,000 kms",5.5 Lakh
206,-,Chennai,Maruti,Celerio,ZXI,2017,Petrol,Manual,"51,000 kms",4.4 Lakh
207,-,Chennai,Honda,Jazz,1.2 SV i VTEC,2017,Petrol,Manual,"33,048 kms",5.9 Lakh
208,-,Chennai,Hyundai,i10,Magna 1.1L,2016,Petrol,Manual,"11,500 kms",4.25 Lakh
209,-,Chennai,Skoda,Rapid,1.5 TDI Ambition BSIV,2017,Diesel,Manual,"1,12,000 kms",7.35 Lakh
210,-,Chennai,Hyundai,Grand i10,Magna 1.2,2010,Petrol,Manual,"69,070 kms",2.45 Lakh
211,-,Chennai,Maruti,Ritz,ZDi,2015,Diesel,Manual,"1,14,000 kms",4.25 Lakh
212,-,Chennai,Honda,WR-V,i-VTEC S,2017,Petrol,Manual,"40,000 kms",7.25 Lakh
213,-,Chennai,Mahindra,Bolero,SLX,2014,Diesel,Manual,"1,80,000 kms",5.4 Lakh
214,-,Chennai,Mahindra,Xylo,E8,2011,Diesel,Manual,"72,000 kms",5.75 Lakh
215,-,Chennai,Honda,Jazz,1.2 VX i VTEC,2017,Petrol,Manual,"48,731 kms",6.25 Lakh
216,-,Chennai,Hyundai,i20,Asta 1.4 CRDi,2016,Diesel,Manual,"81,520 kms",6.1 Lakh
217,-,Chennai,Honda,WR-V,i-VTEC VX,2017,Petrol,Manual,"45,000 kms",8 Lakh
218,-,Chennai,Tata,Tiago,1.05 Revotorq XE,2018,Diesel,Manual,"25,000 kms",5.1 Lakh
219,-,Chennai,Maruti,Swift Dzire,ZXI Plus,2018,Petrol,Manual,"34,000 kms",7.95 Lakh
